,Timestamp,Train ID,Scheduled,Actual time,Delay,Station,Dep/Arr,Category,Delay at Dep.,Trip time,Sched. trip time,12h Coldest Arrival,12h Rain max Arrival,12h Rain total Arrival,12h Snow depth Arrival,12h Coldest Dep,12h Rain max Dep,12h Rain total Dep,12h Snow depth Dep
460,2018-02-04 21:08:33,148,20:54:00,21:08:33,873,HKI,ARRIVAL,Long-distance,53,03:49:40,03:36:00,-9.8,0.0,0.0,11.0,-14.2,0.0,0.0,57.0
461,2018-02-04 22:52:19,152,22:35:00,22:52:19,1039,HKI,ARRIVAL,Long-distance,275,03:21:44,03:09:00,-9.9,0.0,0.0,11.0,-14.2,0.0,0.0,57.0
462,2018-02-05 16:38:31,86,16:35:00,16:38:31,211,HKI,ARRIVAL,Long-distance,-2,03:37:02,03:34:00,-8.3,0.0,0.0,11.0,-14.9,0.0,0.0,56.0
463,2018-02-05 09:00:18,140,08:54:00,09:00:18,378,HKI,ARRIVAL,Long-distance,57,03:39:21,03:34:00,-9.9,0.0,0.0,11.0,-14.8,0.0,0.0,57.0
464,2018-02-05 11:58:42,142,11:54:00,11:58:42,282,HKI,ARRIVAL,Long-distance,-22,03:44:04,03:39:00,-9.0,0.0,0.0,11.0,-14.8,0.0,0.0,57.0
465,2018-02-05 15:31:55,144,14:54:00,15:31:55,2275,HKI,ARRIVAL,Long-distance,989,04:02:26,03:41:00,-8.3,0.0,0.0,11.0,-14.8,0.0,0.0,56.0
466,2018-02-05 18:14:44,146,17:54:00,18:14:44,1244,HKI,ARRIVAL,Long-distance,280,03:20:33,03:17:00,-8.7,0.0,0.0,11.0,-14.9,0.0,0.0,56.0
467,2018-02-05 20:53:25,148,20:54:00,20:53:25,-35,HKI,ARRIVAL,Long-distance,306,03:47:04,03:31:00,-9.1,0.0,0.0,11.0,-14.9,0.0,0.0,55.0
468,2018-02-05 07:59:48,150,07:54:00,07:59:48,348,HKI,ARRIVAL,Long-distance,166,03:30:19,03:36:00,-9.9,0.0,0.0,11.0,-14.8,0.0,0.0,57.0
469,2018-02-06 16:37:57,86,16:35:00,16:37:57,177,HKI,ARRIVAL,Long-distance,7,03:49:07,03:34:00,-9.6,0.4,0.6000000000000001,13.0,-12.7,0.4,1.2000000000000002,58.0
470,2018-02-06 09:12:34,140,08:54:00,09:12:34,1114,HKI,ARRIVAL,Long-distance,98,03:50:56,03:34:00,-10.1,0.6,1.2,12.0,-15.2,0.6,1.7,58.0
471,2018-02-06 11:57:38,142,11:54:00,11:57:38,218,HKI,ARRIVAL,Long-distance,-40,03:43:18,03:39:00,-10.1,0.6,1.2,13.0,-14.2,0.6,1.8,58.0
472,2018-02-06 14:58:48,144,14:54:00,14:58:48,288,HKI,ARRIVAL,Long-distance,646,03:35:02,03:41:00,-9.9,0.6,1.2,13.0,-13.9,0.6,1.8,58.0
473,2018-02-06 18:03:35,146,17:54:00,18:03:35,575,HKI,ARRIVAL,Long-distance,67,03:19:50,03:17:00,-9.1,0.1,0.1,14.0,-11.5,0.1,0.2,59.0
474,2018-02-06 20:54:01,148,20:54:00,20:54:01,1,HKI,ARRIVAL,Long-distance,7,03:39:28,03:31:00,-8.5,0.5,0.9,15.0,-10.5,0.5,1.0,59.0
475,2018-02-06 08:09:05,150,07:54:00,08:09:05,905,HKI,ARRIVAL,Long-distance,-2,03:35:54,03:36:00,-10.1,0.6,1.2,12.0,-16.1,0.6,1.7,58.0
476,2018-02-07 16:38:41,86,16:35:00,16:38:41,221,HKI,ARRIVAL,Long-distance,-15,03:45:51,03:34:00,-7.4,0.4,1.2,20.0,-14.0,0.4,1.3,61.0
477,2018-02-07 09:11:38,140,08:54:00,09:11:38,1058,HKI,ARRIVAL,Long-distance,122,03:49:36,03:34:00,-7.4,0.4,2.0,18.0,-12.9,0.4,2.5000000000000004,61.0
478,2018-02-07 11:53:57,142,11:54:00,11:53:57,-3,HKI,ARRIVAL,Long-distance,-8,03:39:05,03:39:00,-7.4,0.4,2.3000000000000003,19.0,-12.9,0.4,2.8000000000000007,61.0
479,2018-02-07 15:03:01,144,14:54:00,15:03:01,541,HKI,ARRIVAL,Long-distance,711,03:38:10,03:41:00,-7.4,0.4,1.4999999999999998,20.0,-13.1,0.4,1.7,61.0
480,2018-02-07 18:04:40,146,17:54:00,18:04:40,640,HKI,ARRIVAL,Long-distance,443,03:20:56,03:17:00,-7.4,0.4,0.9000000000000001,20.0,-14.5,0.4,0.9000000000000001,61.0
481,2018-02-07 20:58:38,148,20:54:00,20:58:38,278,HKI,ARRIVAL,Long-distance,65,03:34:17,03:31:00,-7.2,0.4,0.8,20.0,-14.5,0.4,0.8,61.0
